key,role,spell,wins,matches
84,4,7,304,807
84,4,11,125,342
84,4,21,146,329
84,4,1,70,165
84,4,12_14,130918,272179
84,4,4_14,86972,185916
84,4,4_12,57193,123713
84,4,3_4,363,795
84,4,4_7,252,686
84,4,3_14,269,594
84,4,4_6,197,464
84,4,6_14,181,381
84,4,4_11,118,317
84,4,3_12,119,242
84,4,6_12,110,219
84,4,4_21,68,178
84,4,14_21,57,111
84,4,1_4,41,89
84,4,7_12,18,46
84,4,7_14,18,41
84,4,1_12,14,30
84,4,12_21,16,29
84,4,1_14,11,27
84,4,6_7,10,24
84,4,1_6,3,15
84,4,11_14,3,9
84,4,11_12,2,7
84,4,6_11,0,6
84,4,3_7,5,6
84,4,3_6,1,5
84,4,3_21,3,5
84,4,3_11,2,3
84,4,7_21,1,3
84,4,1_3,0,2
84,4,6_21,0,2
84,4,1_21,1,1
84,4,1_7,0,1
84,1,4,264,1045
84,1,11,275,985
84,1,14,71,368
84,1,12,37,207
84,1,6,12,35
84,1,3,1,5
84,1,7,1,4
84,1,1,0,3
84,1,21,1,2
84,1,4_11,229,824
84,1,4_14,24,146
84,1,12_14,21,120
84,1,11_14,26,102
84,1,4_12,11,71
84,1,6_11,12,33
84,1,11_12,5,16
84,1,3_11,1,3
84,1,7_11,1,3
84,1,11_21,1,2
84,1,1_11,0,2
84,1,3_4,0,2
84,1,1_6,0,1
84,1,4_7,0,1
84,1,4_6,0,1
84,5,4,930423,1902705
84,5,14,884574,1804885
84,5,12,145836,296777
84,5,3,3223,6979
84,5,7,1435,3480
84,5,1,1353,2981
84,5,6,1037,2248
84,5,21,988,2137
84,5,11,713,1816
84,5,4_14,830462,1696205
84,5,4_12,93329,191365
84,5,12_14,52349,105035
84,5,3_4,2229,4913
84,5,4_7,1319,3149
84,5,1_4,1106,2424
84,5,3_14,929,1888
84,5,4_11,663,1701
84,5,4_21,756,1646
84,5,4_6,615,1302
84,5,6_14,313,670
84,5,14_21,221,454
84,5,1_14,191,395
84,5,7_14,60,171
84,5,3_12,45,119
84,5,6_12,39,95
84,5,1_12,39,94
84,5,6_7,34,79
84,5,11_14,30,67
84,5,1_6,12,48
84,5,7_12,13,48
84,5,6_11,12,28
84,5,3_7,7,24
84,5,3_6,11,22
84,5,1_21,3,12
84,5,12_21,6,11
84,5,11_12,5,10
84,5,7_21,1,5
84,5,1_3,1,5
84,5,6_21,1,4
84,5,3_21,0,4
84,5,3_11,1,4
84,5,7_11,1,3
84,5,1_11,1,2
84,5,11_21,0,1
84,5,1_7,0,1
84,3,4,1481,3996
84,3,14,1213,3295
84,3,12,221,634
84,3,7,150,405
84,3,3,88,219
84,3,1,18,47
84,3,6,10,38
84,3,21,6,24
84,3,11,5,16
84,3,4_14,1108,2989
84,3,4_7,135,373
84,3,4_12,129,364
84,3,12_14,89,260
84,3,3_4,81,195
84,3,1_4,13,35
84,3,4_6,7,15
84,3,4_21,4,15
84,3,3_14,3,13
84,3,7_14,8,12
84,3,6_14,1,10
84,3,4_11,4,10
84,3,3_7,4,9
84,3,14_21,1,6
84,3,6_7,0,5
84,3,1_14,3,4
84,3,1_6,1,4
84,3,7_12,2,4
84,3,11_12,0,3
84,3,6_12,1,3
84,3,7_21,1,2
84,3,1_3,0,2
84,3,11_14,0,1
84,3,1_11,1,1
84,3,1_21,0,1
84,3,6_11,0,1
84,2,4,1893,5064
84,2,14,1735,4680
84,2,3,198,454
84,2,12,135,415
84,2,7,40,118
84,2,6,17,65
84,2,11,5,34
84,2,1,6,32
84,2,21,11,26
84,2,4_14,1622,4357
84,2,3_4,162,359
84,2,12_14,71,213
84,2,4_12,56,182
84,2,4_7,29,94
84,2,3_14,32,83
84,2,4_11,4,23
84,2,4_6,8,23
84,2,4_21,10,20
84,2,6_14,5,15
84,2,1_6,0,14
84,2,6_7,2,7
84,2,7_14,4,6
84,2,1_4,2,6
84,2,1_12,3,5
84,2,11_12,1,5
84,2,7_12,3,5
84,2,6_12,1,4
84,2,3_7,2,4
84,2,3_21,1,3
84,2,1_11,0,3
84,2,11_14,0,2
84,2,1_14,1,2
84,2,14_21,0,2
84,2,3_6,1,2
84,2,3_11,0,1
84,2,1_3,0,1
84,2,1_7,0,1
84,2,3_12,0,1
84,2,7_21,0,1
166,4,4,75473,151705
166,4,14,65987,131448
166,4,12,7104,15190
166,4,3,1650,3595
166,4,6,943,1967
166,4,21,424,897
166,4,1,325,712
166,4,7,244,523
166,4,11,33,79
166,4,4_14,65509,130418
166,4,4_12,6791,14504
166,4,3_4,1533,3351
166,4,4_6,726,1503
166,4,4_21,365,764
166,4,1_4,317,683
166,4,12_14,227,505
166,4,4_7,201,415
166,4,6_14,127,276
166,4,3_14,93,189
166,4,6_12,64,130
166,4,7_21,32,75
166,4,4_11,30,67
166,4,14_21,16,39
166,4,3_6,16,32
166,4,7_12,7,18
166,4,3_12,7,16
166,4,1_6,4,13
166,4,12_21,7,12
166,4,1_14,3,10
166,4,7_14,3,8
166,4,6_21,3,5
166,4,6_11,2,5
166,4,3_7,0,4
166,4,6_7,1,3
166,4,1_12,1,3
166,4,11_14,1,3
166,4,1_11,0,2
166,4,3_21,1,2
166,4,11_12,0,2
166,4,1_3,0,1
166,1,11,1566,4304
166,1,4,895,2741
166,1,14,523,1287
166,1,3,135,267
166,1,6,27,98
166,1,7,19,42
166,1,12,8,27
166,1,1,3,9
166,1,21,0,1
166,1,4_11,873,2657
166,1,11_14,505,1222
166,1,3_11,135,267
166,1,6_11,27,97
166,1,4_14,18,65
166,1,7_11,17,38
166,1,11_12,7,18
166,1,4_12,1,9
166,1,1_11,2,5
166,1,1_4,1,4
166,1,4_7,2,4
166,1,4_21,0,1
166,1,4_6,0,1
166,5,4,265343,527731
166,5,14,243175,481820
166,5,3,7781,16013
166,5,12,6585,13695
166,5,21,4111,8236
166,5,1,3115,6425
166,5,7,1371,2962
166,5,6,1180,2352
166,5,11,206,450
166,5,4_14,242210,480003
166,5,3_4,7438,15365
166,5,4_12,6165,12850
166,5,4_21,4023,8088
166,5,1_4,3072,6329
166,5,4_7,1286,2777
166,5,4_6,962,1899
166,5,12_14,358,711
166,5,3_14,304,578
166,5,4_11,192,420
166,5,6_14,136,278
166,5,14_21,65,113
166,5,7_14,32,78
166,5,7_12,37,76
166,5,6_12,18,45
166,5,1_6,15,44
166,5,1_14,26,44
166,5,3_6,21,38
166,5,6_7,9,17
166,5,6_21,11,17
166,5,11_14,6,15
166,5,6_11,8,14
166,5,3_21,7,11
166,5,3_7,5,9
166,5,3_12,5,9
166,5,7_21,2,4
166,5,1_12,0,3
166,5,1_3,0,2
166,5,1_21,2,2
166,5,1_7,0,1
166,5,12_21,1,1
166,5,3_11,0,1
166,3,4,21979,46705
166,3,7,12343,26112
166,3,14,5048,10742
166,3,3,3193,6831
166,3,21,592,1298
166,3,1,529,1113
166,3,12,472,1021
166,3,6,312,657
166,3,11,34,77
166,3,4_7,12260,25930
166,3,4_14,4850,10329
166,3,3_4,3100,6622
166,3,4_21,569,1246
166,3,1_4,521,1093
166,3,4_12,396,876
166,3,4_6,249,535
166,3,3_14,83,179
166,3,12_14,44,84
166,3,6_14,40,74
166,3,4_11,33,74
166,3,7_14,23,60
166,3,7_12,26,49
166,3,7_21,16,31
166,3,6_7,14,25
166,3,3_7,4,15
166,3,1_6,3,9
166,3,14_21,3,8
166,3,1_14,3,7
166,3,3_6,3,6
166,3,6_12,2,5
166,3,3_21,1,5
166,3,12_21,2,4
166,3,6_21,1,3
166,3,3_12,1,2
166,3,1_7,0,1
166,3,1_3,1,1
166,3,3_11,0,1
166,3,1_21,0,1
166,3,11_14,1,1
166,3,1_12,1,1
166,3,7_11,0,1
166,2,4,2873,6831
166,2,14,2413,5670
166,2,3,313,734
166,2,7,96,266
166,2,12,49,149
166,2,21,57,118
166,2,6,22,83
166,2,11,13,41
166,2,1,12,34
166,2,4_14,2376,5578
166,2,3_4,283,664
166,2,4_7,89,253
166,2,4_12,41,124
166,2,4_21,55,114
166,2,3_14,27,62
166,2,4_6,13,51
166,2,4_11,8,25
166,2,1_4,8,22
166,2,6_14,4,10
166,2,1_6,1,8
166,2,6_12,1,8
166,2,12_14,2,7
166,2,7_14,3,6
166,2,11_14,0,5
166,2,11_12,2,5
166,2,3_11,1,3
166,2,1_12,2,3
166,2,6_7,2,3
166,2,14_21,1,2
166,2,3_6,0,2
166,2,11_21,0,1
166,2,1_3,1,1
166,2,3_12,1,1
166,2,6_11,1,1
166,2,7_21,1,1
166,2,7_12,0,1
166,2,7_11,1,1
166,2,3_7,0,1
12,4,4,4845,10660
12,4,12,2963,6407
12,4,14,1945,4403
12,4,6,317,720
12,4,3,80,201
12,4,1,15,74
12,4,11,9,56
12,4,21,28,51
12,4,7,24,46
12,4,4_12,2771,5979
12,4,4_14,1859,4197
12,4,6_12,145,308
12,4,4_6,108,227
12,4,3_4,66,165
12,4,12_14,40,100
12,4,6_14,38,88
12,4,1_6,13,60
12,4,4_21,23,39
12,4,4_11,7,28
12,4,4_7,10,24
12,4,3_6,6,15
12,4,6_11,2,14
12,4,3_12,5,9
12,4,3_14,2,9
12,4,6_7,4,7
12,4,1_11,0,6
12,4,11_12,0,5
12,4,7_14,5,5
12,4,1_7,1,4
12,4,7_21,2,3
12,4,7_12,2,3
12,4,3_21,1,2
12,4,12_21,0,2
12,4,11_14,0,2
12,4,1_21,0,2
12,4,14_21,1,2
12,4,6_21,1,1
12,4,3_11,0,1
12,4,1_12,0,1
12,4,1_4,1,1
12,1,11,744,2150
12,1,4,675,1908
12,1,6,46,169
12,1,14,18,62
12,1,12,9,43
12,1,7,5,21
12,1,1,3,14
12,1,3,2,11
12,1,21,0,6
12,1,4_11,670,1875
12,1,6_11,44,159
12,1,11_14,16,46
12,1,11_12,7,29
12,1,7_11,4,18
12,1,4_14,2,15
12,1,4_12,2,12
12,1,3_11,2,9
12,1,1_11,1,9
12,1,11_21,0,5
12,1,1_6,2,5
12,1,4_6,0,2
12,1,4_7,1,2
12,1,3_4,0,2
12,1,6_12,0,1
12,1,6_21,0,1
12,1,6_7,0,1
12,1,12_14,0,1
12,5,4,1474,3483
12,5,14,1235,2860
12,5,12,178,456
12,5,6,50,235
12,5,3,44,120
12,5,1,14,70
12,5,11,3,43
12,5,7,9,27
12,5,21,7,22
12,5,4_14,1224,2833
12,5,4_12,171,390
12,5,3_4,40,107
12,5,4_6,23,92
12,5,6_12,6,56
12,5,1_6,12,50
12,5,4_11,2,25
12,5,4_7,6,16
12,5,6_14,6,15
12,5,4_21,7,14
12,5,6_11,1,9
12,5,3_14,3,7
12,5,1_11,0,6
12,5,1_4,1,6
12,5,6_7,1,5
12,5,12_14,1,4
12,5,3_6,1,4
12,5,6_21,0,4
12,5,11_12,0,3
12,5,1_12,0,3
12,5,1_21,0,2
12,5,1_7,1,2
12,5,7_21,0,2
12,5,1_3,0,1
12,5,3_7,0,1
12,5,7_14,1,1
12,3,4,389,1425
12,3,14,251,952
12,3,3,74,300
12,3,7,42,110
12,3,6,21,75
12,3,12,14,29
12,3,11,1,21
12,3,21,7,14
12,3,1,3,10
12,3,4_14,246,931
12,3,3_4,72,294
12,3,4_7,38,100
12,3,4_6,14,48
12,3,4_12,11,23
12,3,4_11,1,15
12,3,4_21,6,11
12,3,6_14,1,10
12,3,1_6,2,6
12,3,3_14,2,4
12,3,6_7,2,4
12,3,6_12,2,4
12,3,6_11,0,3
12,3,1_4,1,3
12,3,7_14,1,3
12,3,3_7,0,2
12,3,11_14,0,2
12,3,12_14,1,1
12,3,14_21,0,1
12,3,11_12,0,1
12,3,1_21,0,1
12,3,7_21,1,1
12,2,4,317435,644800
12,2,14,240372,485110
12,2,3,71423,147507
12,2,7,5094,10623
12,2,6,1093,2501
12,2,12,692,1567
12,2,11,286,725
12,2,21,279,604
12,2,1,115,309
12,2,4_14,239740,483834
12,2,3_4,70893,146442
12,2,4_7,4875,10168
12,2,4_6,720,1637
12,2,4_12,619,1377
12,2,4_11,263,647
12,2,3_14,308,608
12,2,4_21,226,489
12,2,6_14,176,370
12,2,3_6,133,271
12,2,1_4,92,206
12,2,7_14,100,185
12,2,3_7,61,124
12,2,1_6,11,78
12,2,12_14,27,63
12,2,6_7,21,55
12,2,7_21,17,50
12,2,6_12,15,42
12,2,6_11,12,39
12,2,3_12,10,35
12,2,14_21,17,32
12,2,7_12,14,32
12,2,3_21,14,23
12,2,11_12,6,15
12,2,11_14,4,12
12,2,6_21,5,9
12,2,1_11,1,8
12,2,1_7,6,7
12,2,1_14,3,6
12,2,1_12,1,2
12,2,7_11,0,2
12,2,3_11,0,2
12,2,1_3,1,2
12,2,12_21,0,1
32,4,4,10043,22175
32,4,14,7304,15850
32,4,12,3622,8285
32,4,6,142,419
32,4,3,111,306
32,4,11,56,187
32,4,1,14,75
32,4,7,27,69
32,4,21,20,50
32,4,4_14,6758,14581
32,4,4_12,3090,7027
32,4,12_14,473,1098
32,4,3_4,72,208
32,4,4_11,46,160
32,4,4_6,45,119
32,4,6_12,39,107
32,4,6_14,40,103
32,4,1_6,10,61
32,4,3_14,25,55
32,4,4_7,17,42
32,4,4_21,13,32
32,4,3_12,10,27
32,4,11_12,5,13
32,4,3_6,3,11
32,4,6_7,2,10
32,4,12_21,3,7
32,4,6_11,3,7
32,4,1_4,2,6
32,4,14_21,3,6
32,4,7_12,1,4
32,4,7_14,3,4
32,4,3_7,1,3
32,4,11_14,1,3
32,4,1_11,0,2
32,4,7_11,1,2
32,4,1_12,1,2
32,4,7_21,1,2
32,4,1_7,1,2
32,4,1_21,0,1
32,4,3_21,0,1
32,4,1_3,0,1
32,4,6_21,0,1
32,1,11,599294,1130743
32,1,4,585710,1104905
32,1,14,8836,17782
32,1,6,4278,8428
32,1,3,738,1487
32,1,7,208,580
32,1,12,153,403
32,1,21,49,117
32,1,1,20,59
32,1,4_11,585367,1103425
32,1,11_14,8492,16505
32,1,6_11,4273,8398
32,1,3_11,714,1394
32,1,4_14,342,1271
32,1,7_11,195,528
32,1,11_12,140,342
32,1,11_21,48,112
32,1,3_4,23,90
32,1,4_12,12,56
32,1,4_7,13,51
32,1,1_11,18,39
32,1,1_6,1,17
32,1,4_6,2,7
32,1,4_21,1,4
32,1,6_14,1,3
32,1,3_14,1,2
32,1,6_12,1,2
32,1,1_21,0,1
32,1,3_6,0,1
32,1,1_4,1,1
32,1,1_12,0,1
32,1,7_12,0,1
32,1,12_14,0,1
32,5,4,1574,3832
32,5,14,1237,2966
32,5,12,222,581
32,5,6,66,204
32,5,3,64,175
32,5,11,33,130
32,5,1,10,81
32,5,21,13,44
32,5,7,13,37
32,5,4_14,1219,2891
32,5,4_12,202,520
32,5,3_4,58,145
32,5,4_11,29,107
32,5,4_6,41,88
32,5,1_6,6,52
32,5,4_21,11,39
32,5,4_7,11,29
32,5,6_12,13,27
32,5,12_14,6,25
32,5,6_14,3,20
32,5,3_14,5,16
32,5,1_4,3,13
32,5,11_14,0,9
32,5,3_6,0,8
32,5,1_11,0,6
32,5,6_7,0,4
32,5,6_11,2,4
32,5,11_12,1,3
32,5,1_12,0,3
32,5,1_3,0,2
32,5,1_21,0,2
32,5,7_14,2,2
32,5,3_12,0,2
32,5,1_14,1,2
32,5,14_21,1,1
32,5,3_21,0,1
32,5,1_7,0,1
32,5,6_21,1,1
32,5,3_11,1,1
32,5,7_12,0,1
32,3,4,1124,3655
32,3,14,757,2536
32,3,3,203,627
32,3,7,99,323
32,3,12,46,115
32,3,6,20,95
32,3,11,19,82
32,3,1,9,44
32,3,21,7,17
32,3,4_14,749,2505
32,3,3_4,198,602
32,3,4_7,95,309
32,3,4_12,42,100
32,3,4_11,15,70
32,3,4_6,12,45
32,3,1_6,2,30
32,3,3_14,3,14
32,3,4_21,7,13
32,3,1_4,6,11
32,3,6_14,2,7
32,3,3_7,1,6
32,3,6_11,3,5
32,3,7_12,2,3
32,3,11_14,1,3
32,3,12_14,2,3
32,3,6_12,0,3
32,3,11_12,0,3
32,3,14_21,0,2
32,3,1_12,0,2
32,3,6_7,0,2
32,3,7_14,0,2
32,3,3_6,1,2
32,3,3_11,0,1
32,3,1_7,1,1
32,3,3_12,0,1
32,3,3_21,0,1
32,3,6_21,0,1
32,2,4,749600,1429171
32,2,14,629005,1193784
32,2,3,111486,216562
32,2,7,9402,19013
32,2,12,1144,2532
32,2,11,1042,2432
32,2,6,679,1567
32,2,21,484,986
32,2,1,181,463
32,2,4_14,627508,1190717
32,2,3_4,110229,213953
32,2,4_7,9021,18187
32,2,4_11,987,2284
32,2,4_12,994,2188
32,2,3_14,1046,2102
32,2,4_21,406,842
32,2,4_6,306,694
32,2,7_14,171,348
32,2,6_14,163,347
32,2,1_4,129,306
32,2,3_7,104,238
32,2,3_6,87,188
32,2,12_14,64,151
32,2,6_7,55,134
32,2,1_6,39,120
32,2,11_14,34,73
32,2,7_12,26,61
32,2,6_12,18,43
32,2,14_21,18,42
32,2,6_11,10,37
32,2,7_21,21,36
32,2,3_12,12,36
32,2,12_21,23,30
32,2,3_21,14,27
32,2,11_12,7,18
32,2,1_3,5,11
32,2,1_11,2,8
32,2,3_11,1,7
32,2,1_7,3,6
32,2,1_12,0,5
32,2,6_21,1,4
32,2,1_14,2,4
32,2,1_21,1,3
32,2,7_11,1,3
32,2,11_21,0,2
34,4,4,11422,23070
34,4,12,7506,15246
34,4,14,3638,7255
34,4,6,372,840
34,4,21,157,307
34,4,3,112,269
34,4,11,40,170
34,4,7,60,127
34,4,1,13,94
34,4,4_12,7314,14802
34,4,4_14,3536,7017
34,4,4_6,245,492
34,4,4_21,154,298
34,4,3_4,100,234
34,4,6_12,86,198
34,4,12_14,85,187
34,4,4_11,34,130
34,4,4_7,35,72
34,4,1_6,7,60
34,4,6_7,19,43
34,4,6_14,13,33
34,4,1_4,4,25
34,4,11_12,4,24
34,4,3_12,10,22
34,4,6_11,0,9
34,4,3_14,1,8
34,4,7_12,5,8
34,4,1_11,1,5
34,4,12_21,2,4
34,4,3_6,1,3
34,4,14_21,0,3
34,4,7_14,1,3
34,4,11_14,1,2
34,4,1_14,1,2
34,4,6_21,1,2
34,4,1_3,0,1
34,4,3_7,0,1
34,4,1_12,0,1
34,1,11,224,1123
34,1,4,213,999
34,1,12,18,116
34,1,6,6,80
34,1,14,10,53
34,1,1,2,7
34,1,3,3,6
34,1,21,1,6
34,1,7,1,2
34,1,4_11,199,938
34,1,11_12,10,84
34,1,6_11,5,63
34,1,11_14,6,27
34,1,4_12,8,25
34,1,4_14,4,25
34,1,4_6,0,6
34,1,6_12,0,6
34,1,11_21,1,4
34,1,1_6,1,4
34,1,3_11,1,3
34,1,3_4,2,3
34,1,1_11,1,2
34,1,7_11,1,2
34,1,4_21,0,1
34,1,12_14,0,1
34,1,1_4,0,1
34,1,6_21,0,1
34,5,4,263890,509932
34,5,14,136789,261847
34,5,12,107973,210106
34,5,21,8747,17108
34,5,3,5543,11208
34,5,6,3713,7463
34,5,1,1257,2475
34,5,7,1055,2197
34,5,11,193,832
34,5,4_14,136388,260980
34,5,4_12,107615,209246
34,5,4_21,8701,17008
