key,role,category,abilities,wins,matches
266,4,skill10,QEWQQRQWQE,14366,32173
266,4,skill10,QEWQQRQEQW,13702,30623
266,4,skill10,QWEQQRQWQW,10192,24159
266,4,skill10,QEWQQRQEEQ,7655,15245
266,4,skill10,QWEQQRQWQE,3948,9230
266,4,skill10,QWEQQRQEQW,3356,8003
266,4,skill10,QEWQQREQQE,3314,6776
266,4,skill10,EQWQQRQEQE,3247,6773
266,4,skill10,QEWWQRQQQE,2810,5916
266,4,skill10,WQEQQRQEQE,2290,4264
266,4,skill10,QEEWQRQQQE,1459,3051
266,4,skill10,QEWQQERQQE,1381,2846
266,4,skill10,QEWQERQQQE,1257,2626
266,4,skill10,QEWQWRQQQE,1162,2435
266,4,skill10,QEWQQRQQEE,1177,2410
266,4,skill10,QEWEQRQQQE,1088,2337
266,4,skill10,QEWQQRQEWQ,968,2172
266,4,skill10,QWQEQRQEQE,979,2135
266,4,skill10,QEWQQRWQQE,795,1752
266,4,skill10,QEWQQRQEQR,617,1233
266,4,skill10,QWEQQRQEEQ,551,1201
266,4,skill10,QEWQQRQEEE,494,1049
266,4,skill10,QWWEQRQQQE,430,922
266,4,skill10,QEWQQRQWEQ,380,881
266,4,skill10,QEWQRQQEQE,352,694
266,4,skill10,QWEQQREQQE,312,652
266,4,skill10,QEWWQRQQQW,249,622
266,4,skill10,QEQWQRQWQE,286,615
266,4,skill10,QWQEQRQWQW,229,607
266,4,skill10,QEWQQREQQW,232,588
266,4,skill10,QEQWQRQEQW,229,576
266,4,skill10,QEWQQRQWWQ,223,572
266,4,skill10,QEWQQRWQQW,216,532
266,4,skill10,QEQWQRQWQW,220,532
266,4,skill10,QWEQQRQWWQ,146,418
266,4,skill10,QWEQQRQEWQ,175,402
266,4,skill10,QEWQWRQQQW,141,380
266,4,skill10,QEWQQREQEQ,185,378
266,4,skill10,QWEQQRWQQW,155,369
266,4,skill10,QWEEQRQQQE,153,362
266,4,skill10,QEWQQWRQQE,153,358
266,4,skill10,QEWQQREEQQ,167,354
266,4,skill10,QWEQQRQWEQ,141,344
266,4,skill10,QWEQERQQQE,171,344
266,4,skill10,QEQWQRQEEQ,163,342
266,4,skill10,QWEQQRQQEE,153,305
266,4,skill10,QEQEWRQQQE,144,301
266,4,skill10,QWEWQRQQQE,112,278
266,4,skill10,QWEQQRWQQE,107,272
266,4,skill15,QEWQQRQEQEREEWW,769946,1311353
266,4,skill15,QWEQQRQEQEREEWW,46841,80950
266,4,skill15,QEQWQRQEQEREEWW,15094,25503
266,4,skill15,QEWQQRQWQWRWWEE,6427,12202
266,4,skill15,QEWQQRQWQEREEEW,6483,11859
266,4,skill15,QEWQQRQEQEREWEW,5924,10571
266,4,skill15,QWEQQRQWQWRWWEE,4963,9507
266,4,skill15,QEWQQRQEQWREEEW,5357,9497
266,4,skill15,QEWQQRQEQERWEEW,5276,9497
266,4,skill15,QEWQQRQEEQREEWW,5006,8394
266,4,skill15,QEWQQRQEQEEREWW,3953,6624
266,4,skill15,EQWQQRQEQEREEWW,2200,3799
266,4,skill15,QEWQQREQQEREEWW,2061,3607
266,4,skill15,QEWWQRQQQEREEEW,1801,3142
266,4,skill15,WQEQQRQEQEREEWW,1532,2487
266,4,skill15,QWEQQRQWQEREEEW,1233,2351
266,4,skill15,QEWQQRQEQWRWWWE,987,1884
266,4,skill15,QEEWQRQQQEREEWW,966,1710
266,4,skill15,QEWQQERQQEREEWW,929,1573
266,4,skill15,QEWQQRQWQWREEEE,849,1552
266,4,skill15,QWEQQRQEQWREEEW,815,1524
266,4,skill15,QEWQERQQQEREEWW,823,1426
266,4,skill15,QEWQQRQQEEREEWW,773,1425
266,4,skill15,QWEQQRQEQERWEEW,761,1420
266,4,skill15,QWEQQRQEQEREWEW,726,1356
266,4,skill15,QEWQQRQWQWREWWE,696,1284
266,4,skill15,QEWQQRQWQWRWEWE,682,1262
266,4,skill15,QEWQQRQWQERWWWE,644,1254
266,4,skill15,QEWEQRQQQEREEWW,703,1236
266,4,skill15,QEWQWRQQQEREEEW,692,1227
266,4,skill15,QWQEQRQEQEREEWW,613,1128
266,4,skill15,QEWQQRQEQEREWWE,564,1049
266,4,skill15,QWEQQRQEQWRWWWE,498,983
266,4,skill15,QEWQQRQEQERWWEE,509,960
266,4,skill15,QEWQQRQEQWRWEEE,486,902
266,4,skill15,QWEQQRQWQWRWEWE,484,888
266,4,skill15,QEWQQRQWQERWEEE,487,887
266,4,skill15,QEWQQRQEWQREEEW,469,887
266,4,skill15,QEWQQRQEQERWEWE,465,877
266,4,skill15,QWEQQRQWQWREWWE,439,859
266,4,skill15,QEWQQRWQQEREEEW,442,797
266,4,skill15,QEWQQRQEQWREEWE,406,788
266,4,skill15,QEWQQRQEQWREWEE,420,777
266,4,skill15,QEWQQRQWQEREWEE,413,777
266,4,skill15,QWEQQRQWQERWWWE,419,773
266,4,skill15,QEWQQRQWQEREEWE,370,731
266,4,skill15,QEWQQRQEQEREWWW,393,708
266,4,skill15,QEWQQRQEQERWWWW,365,702
266,4,skill15,QEWQQRQEQREEEWW,400,699
266,4,skill15,QEWQQRQEQEEERWW,385,614
266,4,skill15,QWEQQRQEEQREEWW,320,576
266,4,skill15,QEWQQRQWQWRWEEE,308,576
266,4,skill15,QEWQQRQEQEREEWR,340,528
266,4,skill15,QEWQQRQEQERWEWW,255,495
266,4,skill15,QWEQQRQEQEEREWW,297,493
266,4,skill15,QWEQQRQWQWREEEE,283,492
266,4,skill15,QEWQQRQEQERWWEW,243,467
266,4,skill15,QWWEQRQQQEREEEW,270,459
266,4,skill15,QEWQQRQEQWREWWW,248,456
266,4,skill15,QEWQQRQEQWREEWW,229,451
266,4,skill15,QEWQQRQEQERWWWE,221,429
266,4,skill15,QEWQQRQEQWRWEWW,226,410
266,4,skill15,QEWQQRQWQEREEWW,230,399
266,4,skill15,QEWQQRQWQWREEWW,205,390
266,4,skill15,QEWQQRQWQWREWEW,203,390
266,4,skill15,QEWQQRQWQWREWEE,192,388
266,4,skill15,QEWQQRQWQWRWEEW,202,388
266,4,skill15,QEWQQRQWQWREEWE,202,388
266,4,skill15,QEWQQRQWQEREWWW,201,385
266,4,skill15,QEWQQRQWQWREEEW,206,384
266,4,skill15,QEWQQRQEQWREWEW,193,381
266,4,skill15,QEWQQRQEQWREWWE,193,377
266,4,skill15,QEWQQRQEQWRWWEE,196,376
266,4,skill15,QEWQQRQEQWRWWEW,194,374
266,4,skill15,QEWQRQQEQEREEWW,223,367
266,4,skill15,QEWQQRQEQEWREEW,205,360
266,4,skill15,QEWQQRQEQWRWEEW,183,354
266,4,skill15,QEWQQRQWQERWWEE,184,349
266,4,skill15,QEWQQRQEEERQEWW,201,348
266,4,skill15,QEWQQRQEQWRWEWE,170,330
266,4,skill15,QEWQQRQWQEREWEW,168,327
266,4,skill15,QEWQQRQWQERWEWE,163,325
266,4,skill15,QEWQQRQWQERWEWW,168,319
266,4,skill15,QEWQQRQWQERWEEW,176,307
266,4,skill15,QEWQQRQWQERWWEW,166,305
266,4,skill15,QEWQQRQWQEREWWE,141,299
266,4,skill15,QWEQQREQQEREEWW,159,279
266,4,skill15,QWEQQRQWQWRWEEE,119,265
266,4,skill15,QWEQQRQWQERWEEE,124,250
266,1,skillOrder,QEW,11202,24350
266,1,skillOrder,QWE,668,1756
266,1,skillOrder,EQW,14,40
266,1,skillOrder,WQE,3,11
266,1,skillOrder,EWQ,1,9
266,1,skillLevel1,Q,12051,27288
266,1,skillLevel1,W,32,69
266,1,skillLevel1,E,42,127
266,1,skillLevel1,R,0,0
266,1,skillLevel2,Q,71,187
266,1,skillLevel2,W,2123,5012
266,1,skillLevel2,E,9931,22285
266,1,skillLevel2,R,0,0
266,1,skillLevel3,Q,1458,3176
266,1,skillLevel3,W,8624,19493
266,1,skillLevel3,E,2043,4815
266,1,skillLevel3,R,0,0
266,1,skillLevel4,Q,10610,24146
266,1,skillLevel4,W,1358,2956
266,1,skillLevel4,E,157,382
266,1,skillLevel4,R,0,0
266,1,skillLevel5,Q,12042,27242
266,1,skillLevel5,W,33,88
266,1,skillLevel5,E,48,144
266,1,skillLevel5,R,2,10
266,1,skillLevel6,Q,4,16
266,1,skillLevel6,W,3,7
266,1,skillLevel6,E,13,22
266,1,skillLevel6,R,12105,27439
266,1,skill6,QEWQQR,8510,19154
266,1,skill6,QWEQQR,1961,4614
266,1,skill6,QEQWQR,1322,2848
266,1,skill6,QWQEQR,116,266
266,1,skill10,QEWQQRQEQE,7788,16829
266,1,skill10,QWEQQRQEQE,1496,3286
266,1,skill10,QEQWQRQEQE,1244,2614
266,1,skill10,QWEQQRQWQW,192,523
266,1,skill10,QEWQQRQWQW,119,364
266,1,skill10,QEWQQRQEQW,131,325
266,1,skill10,QEWQQRQWQE,142,310
266,1,skill15,QEWQQRQEQEREEWW,4776,8053
266,1,skill15,QWEQQRQEQEREEWW,928,1558
266,1,skill15,QEQWQRQEQEREEWW,798,1378
266,5,skillOrder,QEW,58231,109135
266,5,skillOrder,QWE,2226,4764
266,5,skillOrder,EQW,24,68
266,5,skillOrder,WQE,5,12
266,5,skillOrder,EWQ,2,6
266,5,skillOrder,WEQ,1,2
266,5,skillLevel1,Q,60560,115443
266,5,skillLevel1,W,217,365
266,5,skillLevel1,E,199,403
266,5,skillLevel1,R,0,0
266,5,skillLevel2,Q,405,748
266,5,skillLevel2,W,3324,6708
266,5,skillLevel2,E,57247,108755
266,5,skillLevel2,R,0,0
266,5,skillLevel3,Q,953,1870
266,5,skillLevel3,W,56473,107251
266,5,skillLevel3,E,3550,7090
266,5,skillLevel3,R,0,0
266,5,skillLevel4,Q,59733,113676
266,5,skillLevel4,W,1101,2208
266,5,skillLevel4,E,142,327
266,5,skillLevel4,R,0,0
266,5,skillLevel5,Q,60768,115715
266,5,skillLevel5,W,95,194
266,5,skillLevel5,E,101,267
266,5,skillLevel5,R,12,35
266,5,skillLevel6,Q,23,54
266,5,skillLevel6,W,4,20
266,5,skillLevel6,E,70,143
266,5,skillLevel6,R,60879,115994
266,5,skill6,QEWQQR,55854,105886
266,5,skill6,QWEQQR,3213,6451
266,5,skill6,QEQWQR,878,1719
266,5,skill6,EQWQQR,191,381
266,5,skill6,WQEQQR,203,343
266,5,skill6,QEWWQR,115,262
266,5,skill10,QEWQQRQEQE,52654,98052
266,5,skill10,QWEQQRQEQE,2489,4883
266,5,skill10,QEQWQRQEQE,830,1595
266,5,skill10,QEWQQRQWQW,697,1499
266,5,skill10,QEWQQRQWQE,644,1380
266,5,skill10,QEWQQRQEQW,631,1357
266,5,skill10,QEWQQRQEEQ,358,709
266,5,skill10,QWEQQRQWQW,338,676
266,5,skill10,EQWQQRQEQE,175,343
266,5,skill10,QWEQQRQWQE,141,305
266,5,skill10,WQEQQRQEQE,182,292
266,5,skill10,QEWQQREQQE,148,287
266,5,skill15,QEWQQRQEQEREEWW,33179,53478
266,5,skill15,QWEQQRQEQEREEWW,1519,2504
266,5,skill15,QEQWQRQEQEREEWW,530,836
266,5,skill15,QEWQQRQWQWRWWEE,279,509
266,5,skill15,QEWQQRQWQEREEEW,265,445
266,5,skill15,QEWQQRQEQEREWEW,244,421
266,5,skill15,QEWQQRQEQERWEEW,225,384
266,5,skill15,QEWQQRQEQWREEEW,213,381
266,5,skill15,QEWQQRQEEQREEWW,213,358
266,5,skill15,QEWQQRQEQEEREWW,181,268
266,3,skillOrder,QEW,1511,3360
266,3,skillOrder,QWE,81,244
266,3,skillOrder,EQW,6,12
266,3,skillOrder,WEQ,1,2
266,3,skillOrder,EWQ,0,1
266,3,skillOrder,WQE,0,1
266,3,skillLevel1,Q,1623,3860
266,3,skillLevel1,W,9,18
266,3,skillLevel1,E,10,24
266,3,skillLevel1,R,0,0
266,3,skillLevel2,Q,17,36
266,3,skillLevel2,W,144,366
266,3,skillLevel2,E,1481,3500
266,3,skillLevel2,R,0,0
266,3,skillLevel3,Q,38,110
266,3,skillLevel3,W,1456,3424
266,3,skillLevel3,E,148,368
266,3,skillLevel3,R,0,0
266,3,skillLevel4,Q,1594,3761
266,3,skillLevel4,W,35,107
266,3,skillLevel4,E,13,34
266,3,skillLevel4,R,0,0
266,3,skillLevel5,Q,1631,3865
266,3,skillLevel5,W,4,13
266,3,skillLevel5,E,7,23
266,3,skillLevel5,R,0,1
266,3,skillLevel6,Q,0,2
266,3,skillLevel6,W,1,1
266,3,skillLevel6,E,2,9
266,3,skillLevel6,R,1639,3890
266,3,skill6,QEWQQR,1432,3365
266,3,skill6,QWEQQR,134,324
266,3,skill10,QEWQQRQEQE,1285,2862
266,3,skill15,QEWQQRQEQEREEWW,667,1151
266,2,skillOrder,QEW,4995,10831
266,2,skillOrder,QWE,246,623
266,2,skillOrder,EQW,11,21
266,2,skillOrder,WQE,6,13
266,2,skillOrder,WEQ,0,4
266,2,skillOrder,EWQ,1,2
266,2,skillLevel1,Q,5480,12728
266,2,skillLevel1,W,83,185
266,2,skillLevel1,E,39,103
266,2,skillLevel1,R,0,0
266,2,skillLevel2,Q,118,267
266,2,skillLevel2,W,639,1573
266,2,skillLevel2,E,4845,11176
266,2,skillLevel2,R,0,0
266,2,skillLevel3,Q,57,158
266,2,skillLevel3,W,4829,11134
266,2,skillLevel3,E,716,1724
266,2,skillLevel3,R,0,0
266,2,skillLevel4,Q,5506,12778
266,2,skillLevel4,W,69,180
266,2,skillLevel4,E,26,56
266,2,skillLevel4,R,1,2
266,2,skillLevel5,Q,5561,12899
266,2,skillLevel5,W,13,47
266,2,skillLevel5,E,28,66
266,2,skillLevel5,R,0,4
266,2,skillLevel6,Q,2,7
266,2,skillLevel6,W,1,3
266,2,skillLevel6,E,3,9
266,2,skillLevel6,R,5596,12997
266,2,skill6,QEWQQR,4749,10933
266,2,skill6,QWEQQR,617,1505
266,2,skill10,QEWQQRQEQE,4197,9007
266,2,skill10,QWEQQRQEQE,482,1061
266,2,skill15,QEWQQRQEQEREEWW,1388,2240
266,2,skill15,QWEQQRQEQEREEWW,153,263
103,4,skillOrder,QWE,4600,9442
103,4,skillOrder,QEW,1476,2985
103,4,skillOrder,WQE,308,631
103,4,skillOrder,WEQ,77,176
103,4,skillOrder,EQW,65,135
103,4,skillOrder,EWQ,65,127
103,4,skillLevel1,Q,3618,7573
103,4,skillLevel1,W,2418,4997
103,4,skillLevel1,E,616,1263
103,4,skillLevel1,R,0,0
103,4,skillLevel2,Q,2153,4457
103,4,skillLevel2,W,1646,3484
103,4,skillLevel2,E,2853,5892
103,4,skillLevel2,R,0,0
103,4,skillLevel3,Q,979,2047
103,4,skillLevel3,W,2565,5276
103,4,skillLevel3,E,3108,6509
103,4,skillLevel3,R,0,1
103,4,skillLevel4,Q,5907,12203
103,4,skillLevel4,W,507,1120
103,4,skillLevel4,E,237,509
103,4,skillLevel4,R,1,1
103,4,skillLevel5,Q,6012,12479
103,4,skillLevel5,W,461,976
103,4,skillLevel5,E,173,363
103,4,skillLevel5,R,6,15
103,4,skillLevel6,Q,9,27
103,4,skillLevel6,W,2,7
103,4,skillLevel6,E,9,19
103,4,skillLevel6,R,6632,13780
103,4,skill6,QEWQQR,1929,3954
103,4,skill6,WQEQQR,1471,3061
103,4,skill6,QWEQQR,1273,2704
103,4,skill6,WEQQQR,472,960
103,4,skill6,EQWQQR,364,730
103,4,skill6,EWQQQR,145,281
103,4,skill10,WQEQQRQWQW,1172,2391
103,4,skill10,QEWQQRQWQW,1005,2027
103,4,skill10,QWEQQRQWQW,938,1975
103,4,skill10,QEWQQRQEQE,564,1120
103,4,skill10,WEQQQRQWQW,352,708
103,4,skill10,EQWQQRQWQW,226,443
103,4,skill10,WQEQQRQEQE,153,325
103,4,skill10,QWEQQRQEQE,135,264
103,4,skill15,WQEQQRQWQWRWWEE,757,1368
103,4,skill15,QWEQQRQWQWRWWEE,600,1096
103,4,skill15,QEWQQRQWQWRWWEE,580,1030
103,4,skill15,QEWQQRQEQEREEWW,313,549
103,4,skill15,WEQQQRQWQWRWWEE,220,393
103,1,skillOrder,QWE,123,376
103,1,skillOrder,QEW,69,172
103,1,skillOrder,EWQ,14,33
103,1,skillOrder,WQE,8,21
103,1,skillOrder,EQW,4,18
103,1,skillOrder,WEQ,2,9
103,1,skillLevel1,Q,141,453
103,1,skillLevel1,W,30,112
103,1,skillLevel1,E,61,155
103,1,skillLevel1,R,0,0
103,1,skillLevel2,Q,62,205
103,1,skillLevel2,W,100,310
103,1,skillLevel2,E,70,205
103,1,skillLevel2,R,0,0
103,1,skillLevel3,Q,38,94
103,1,skillLevel3,W,102,294
103,1,skillLevel3,E,92,332
103,1,skillLevel3,R,0,0
103,1,skillLevel4,Q,197,592
103,1,skillLevel4,W,11,50
103,1,skillLevel4,E,24,78
103,1,skillLevel4,R,0,0
103,1,skillLevel5,Q,199,616
103,1,skillLevel5,W,16,53
103,1,skillLevel5,E,17,49
103,1,skillLevel5,R,0,2
103,1,skillLevel6,Q,0,2
103,1,skillLevel6,W,2,4
103,1,skillLevel6,E,0,1
103,1,skillLevel6,R,230,713
103,5,skillOrder,QWE,523495,1059238
103,5,skillOrder,QEW,128465,265289
103,5,skillOrder,WQE,14253,29770
103,5,skillOrder,EQW,2223,4968
103,5,skillOrder,WEQ,1840,4125
103,5,skillOrder,EWQ,720,1547
103,5,skillLevel1,Q,345867,724376
103,5,skillLevel1,W,255612,521337
103,5,skillLevel1,E,76759,148400
103,5,skillLevel1,R,0,0
103,5,skillLevel2,Q,263556,534027
103,5,skillLevel2,W,183121,375917
103,5,skillLevel2,E,231560,484166
103,5,skillLevel2,R,1,3
103,5,skillLevel3,Q,82483,163856
103,5,skillLevel3,W,233701,484848
103,5,skillLevel3,E,362054,745408
103,5,skillLevel3,R,0,1
103,5,skillLevel4,Q,635584,1304198
103,5,skillLevel4,W,30126,63376
103,5,skillLevel4,E,12486,26437
103,5,skillLevel4,R,42,102
103,5,skillLevel5,Q,648862,1330499
103,5,skillLevel5,W,23008,49154
103,5,skillLevel5,E,6009,13627
103,5,skillLevel5,R,359,833
103,5,skillLevel6,Q,505,1153
103,5,skillLevel6,W,538,1173
103,5,skillLevel6,E,1015,2211
103,5,skillLevel6,R,676180,1389576
103,5,skill6,WQEQQR,191481,390819
103,5,skill6,QEWQQR,168583,354574
103,5,skill6,QWEQQR,147689,305377
103,5,skill6,EQWQQR,50073,97405
103,5,skill6,WEQQQR,41252,82554
103,5,skill6,EWQQQR,20278,38203
103,5,skill6,WQEWWR,5578,11808
103,5,skill6,QEQWQR,5326,11130
103,5,skill6,WQEWQR,3926,8165
103,5,skill6,QWQEQR,3508,7253
103,5,skill6,WQQEQR,3378,6773
103,5,skill6,QWEQWR,2966,6635
103,5,skill6,QEWQWR,2691,5899
103,5,skill6,QEWQER,2451,5594
103,5,skill6,WQEQWR,2634,5480
103,5,skill6,WEQWWR,2449,5219
103,5,skill6,QWEWQR,2077,4509
103,5,skill6,QEWWQR,1863,4013
103,5,skill6,QWEWWR,1641,3554
103,5,skill6,QEWEQR,1215,2718
103,5,skill6,EQQWQR,1204,2365
103,5,skill6,WEQWQR,1155,2336
103,5,skill6,QEWWWR,909,2019
103,5,skill6,EWQWWR,910,1760
103,5,skill6,EQWQWR,719,1422
103,5,skill6,QWEQER,614,1410
103,5,skill6,QEWEER,562,1335
103,5,skill6,WEQQWR,652,1331
103,5,skill6,EQWWQR,682,1316
103,5,skill6,QWEEQR,536,1154
103,5,skill6,QWWEQR,509,1077
103,5,skill6,EWQWQR,538,1013
103,5,skill6,EQWQER,423,900
103,5,skill6,WQWEQR,391,829
103,5,skill6,WQEEQR,369,804
103,5,skill6,WQEQER,342,804
103,5,skill6,EQWWWR,349,788
103,5,skill6,QEEWQR,349,776
103,5,skill6,EQWEQR,294,641
103,5,skill6,EWQQWR,313,570
103,5,skill6,WQEQQE,264,570
103,5,skill6,QEWQQE,265,569
103,5,skill6,EQWEER,216,488
103,5,skill6,QWEQQE,206,445
103,5,skill6,QEWEWR,150,337
103,5,skill6,QEWWER,147,337
103,5,skill6,QWEQQW,123,289
103,5,skill6,WQWEWR,118,286
103,5,skill6,WEQQER,120,278
103,5,skill6,WEQEQR,118,262
103,5,skill6,QEWQQW,131,261
103,5,skill6,WQEQQW,119,257
103,5,skill6,QWEEER,117,252
103,5,skill10,WQEQQRQWQW,162097,326466
103,5,skill10,QWEQQRQWQW,117351,238964
103,5,skill10,QEWQQRQWQW,93622,193634
103,5,skill10,QEWQQRQEQE,45405,94700
103,5,skill10,EQWQQRQWQW,34080,65345
103,5,skill10,WEQQQRQWQW,32974,64966
103,5,skill10,EWQQQRQWQW,16570,30971
103,5,skill10,WQEQQRQEQE,13410,27158
103,5,skill10,QWEQQRQEQE,12591,25928
103,5,skill10,QEWQQRQEQW,10132,21386
103,5,skill10,EQWQQRQEQE,9131,17669
103,5,skill10,QEWQQRQWQE,8270,17465
103,5,skill10,QWEQQRQEQW,5326,11052
103,5,skill10,QWEQQRQWQE,5018,10827
103,5,skill10,WQEQQRQEQW,4796,10092
103,5,skill10,WQEQQRQWQE,4463,9375
103,5,skill10,WEQQQRQEQE,4505,9001
103,5,skill10,QEQWQRQWQW,3325,6837
103,5,skill10,WQEWWRWQWQ,3115,6368
103,5,skill10,QWQEQRQWQW,2800,5735
103,5,skill10,WQQEQRQWQW,2790,5579
103,5,skill10,EQWQQRQEQW,2250,4473
103,5,skill10,WQEWQRQQQW,2061,4271
103,5,skill10,EQWQQRQWQE,1934,3912
103,5,skill10,EWQQQRQEQE,1838,3429
103,5,skill10,WQEQQRQWWQ,1485,3049
103,5,skill10,QWEQQRQWWQ,1361,2879
103,5,skill10,QWEQQRWQQW,1290,2678
103,5,skill10,WQEQQRWQQW,1297,2658
103,5,skill10,QEWQQRQWWQ,1195,2579
103,5,skill10,QEQWQRQEQE,1244,2539
103,5,skill10,WEQQQRQEQW,1281,2531
103,5,skill10,WEQWWRWQWQ,1162,2411
103,5,skill10,QEWQQRQEEQ,1125,2383
103,5,skill10,QEWQQRWQQW,1125,2295
103,5,skill10,WQEQWRQQQW,1121,2292
103,5,skill10,WEQQQRQWQE,1021,2105
103,5,skill10,QWEWQRQQQW,981,2008
103,5,skill10,QWEQWRQQQW,924,1944
103,5,skill10,QEWQQREQQE,799,1677
103,5,skill10,EQQWQRQWQW,840,1628
103,5,skill10,QEWWQRQQQW,734,1578
103,5,skill10,QWEWWRWQWQ,718,1471
103,5,skill10,QEWQWRQQQW,695,1452
103,5,skill10,QEWQQRQWEQ,604,1232
103,5,skill10,QEWQQRQEWQ,522,1110
103,5,skill10,WEQWQRQQQW,529,1073
103,5,skill10,EWQQQRQEQW,564,1059
103,5,skill10,EWQQQRQWQE,475,939
103,5,skill10,QEWQQREQQW,413,913
103,5,skill10,WQEWWRQQQQ,409,843
103,5,skill10,EWQWWRWQWQ,456,843
103,5,skill10,QWEQQRQWEQ,399,819
103,5,skill10,QEWQERQQQE,365,791
103,5,skill10,QWWEQRQQQW,375,782
103,5,skill10,QEWWWRWQWQ,360,765
103,5,skill10,EQWQQRQWWQ,368,745
103,5,skill10,QEWQQRWQQE,356,735
103,5,skill10,EQWQQRWQQW,353,661
103,5,skill10,WQWEQRQQQW,314,658
103,5,skill10,EQWWQRQQQW,328,636
103,5,skill10,WQEWWRWQQW,301,617
103,5,skill10,QEWEQRQQQE,270,602
103,5,skill10,WQEQWRWWWQ,277,599
103,5,skill10,WEQQQRQWWQ,270,598
103,5,skill10,WQEWWRQWWQ,275,597
103,5,skill10,QEWWQRQQQE,281,587
103,5,skill10,QWEQQRQEEQ,254,584
103,5,skill10,QEQWQRQEQW,262,581
103,5,skill10,QEWQQRQEEE,252,579
103,5,skill10,WQEQQRWWWW,279,560
103,5,skill10,WQEWQRWWWQ,288,560
103,5,skill10,WQEWQRQQQE,284,559
103,5,skill10,WEQQQRWQQW,277,552
103,5,skill10,WQEQQRQWEQ,238,542
103,5,skill10,QEWQERQQQW,245,526
103,5,skill10,QWEQQREQQW,222,526
103,5,skill10,WEQWWRWEWE,235,526
103,5,skill10,QEWQWRQQQE,249,505
103,5,skill10,EWQWQRQQQW,277,502
103,5,skill10,EQWQWRQQQW,264,500
103,5,skill10,WEQQWRQQQW,238,496
103,5,skill10,QWQEQRQEQE,245,491
103,5,skill10,QWEQQRQEWQ,213,477
103,5,skill10,QEQWQRQWQE,236,468
103,5,skill10,WQEWWRWQQQ,214,466
103,5,skill10,QWEQQRQWWW,246,458
103,5,skill10,QWEQQRWQQE,222,452
103,5,skill10,QWEEQRQQQW,222,443
103,5,skill10,WQEEQRQQQW,212,440
103,5,skill10,WQEQQERQQW,207,435
103,5,skill10,QEWQQRQWWW,209,433
103,5,skill10,WQEWWRWQWE,206,433
103,5,skill10,EQQWQRQEQE,218,431
103,5,skill10,WQEQQRQWWW,191,426
103,5,skill10,WQEQQRQEEQ,207,425
103,5,skill10,EQWQQRQEEQ,218,418
103,5,skill10,QEEWQRQQQW,196,410
103,5,skill10,QWEQWREQWE,166,405
103,5,skill10,QEWQERWQEW,170,403
103,5,skill10,QEWEEREQEQ,167,394
103,5,skill10,QEWEQRQQQW,173,391
103,5,skill10,WQEQQRQEWQ,165,382
103,5,skill10,WQQEQRQEQE,192,377
103,5,skill10,WQEQQREQQW,175,374
103,5,skill10,QEWQQRWQWQ,170,365
103,5,skill10,QWEQWRQQQE,181,350
103,5,skill10,QEWQQREWQQ,172,341
103,5,skill10,QWEQQRWQWQ,175,338
